,coef,p_value,conf_low,conf_high
Intercept,-567.7850290844465,1.9432680019494586e-46,-645.550597206193,-490.01946096269995
C(cuisine_description)[T.African],2.9611764858054745,0.0021943511389428396,1.0661171145512247,4.856235857059724
C(cuisine_description)[T.American],-1.0693315784331325,0.23592202917930136,-2.837625224870844,0.6989620680045789
C(cuisine_description)[T.Armenian],-1.105599311194579,0.30749822811572686,-3.2290383111210765,1.0178396887319188
C(cuisine_description)[T.Asian],1.7044072200195095,0.06288554699638944,-0.09160239348626775,3.5004168335252865
C(cuisine_description)[T.Australian],-1.475590736778961,0.2259015653694749,-3.8638216655594113,0.9126401920014895
C(cuisine_description)[T.Bagels/Pretzels],-0.8766348037255124,0.3482001893449166,-2.708210938793368,0.9549413313423433
C(cuisine_description)[T.Bakery],0.19054473193468613,0.8339736531793633,-1.5911706396308216,1.9722601035001937
C(cuisine_description)[T.Bangladeshi],2.532886772659068,0.011620376029382422,0.5656102888084893,4.500163256509646
C(cuisine_description)[T.Barbecue],-0.07081542152469493,0.9440922975480095,-2.050015094891676,1.908384251842286
"C(cuisine_description)[T.Bottled beverages, including water, sodas, juices, etc.]",-1.7959871613710465,0.06778210830775133,-3.723259323386525,0.13128500064443238
C(cuisine_description)[T.Brazilian],-0.5395237568567494,0.6220083108819869,-2.684425744142687,1.6053782304291886
C(cuisine_description)[T.CafÃƒÂ©/Coffee/Tea],-3.3161447640136816,0.00025754647920781746,-5.0945659461873625,-1.5377235818400004
C(cuisine_description)[T.Cajun],-3.2704052142917566,0.027331444325564447,-6.175069764038539,-0.36574066454497434
C(cuisine_description)[T.Caribbean],1.353773830033542,0.13621217518137826,-0.42694370422110617,3.1344913642881904
C(cuisine_description)[T.Chicken],-1.6439172224676348,0.0730379803838471,-3.4413243173153996,0.15348987238013012
C(cuisine_description)[T.Chinese],1.6562422078756363,0.0667044228817615,-0.11408349764802406,3.4265679133992966
C(cuisine_description)[T.Chinese/Cuban],2.46583375595622,0.031678210847501644,0.2163291590184877,4.715338352893951
C(cuisine_description)[T.Chinese/Japanese],2.598423125264642,0.008686023320015534,0.657693667134315,4.539152583394969
C(cuisine_description)[T.Continental],1.3379896489532377,0.18170336443994198,-0.6255885851606315,3.301567883067107
C(cuisine_description)[T.Creole],2.3041372051676445,0.02732749897891482,0.2577319332656023,4.350542477069687
C(cuisine_description)[T.Delicatessen],2.014010370213303,0.027965246323413122,0.2179267047677773,3.8100940356588286
C(cuisine_description)[T.Donuts],-5.209340055367356,1.3882385983326283e-08,-7.008498914262616,-3.410181196472096
C(cuisine_description)[T.Eastern European],1.2616977101272102,0.19495151160708502,-0.6462906017160601,3.1696860219704805
C(cuisine_description)[T.Egyptian],2.0898085567110214,0.12489244565404689,-0.5793337351347567,4.7589508485567995
C(cuisine_description)[T.English],1.3931424076012582,0.25426962917221335,-1.0019608457055567,3.788245660908073
C(cuisine_description)[T.Ethiopian],-1.1222807235330197,0.3452732430097738,-3.4529020588339283,1.208340611767889
C(cuisine_description)[T.Filipino],5.621177061183571,5.738451049820678e-08,3.591032676702287,7.6513214456648555
C(cuisine_description)[T.French],-1.2046117305461064,0.19015659272243093,-3.006741405906533,0.5975179448143206
C(cuisine_description)[T.Fruits/Vegetables],-3.391556650088255,0.030054114426649587,-6.455720560391985,-0.32739273978452443
C(cuisine_description)[T.German],-0.8584713098653161,0.4169074229129842,-2.931124789728689,1.2141821699980568
C(cuisine_description)[T.Greek],-1.0414328290120634,0.2702397954857276,-2.892820545213902,0.809954887189775
C(cuisine_description)[T.Hamburgers],-3.203929496338793,0.00048689628692567013,-5.004330053429786,-1.4035289392478005
C(cuisine_description)[T.Hawaiian],0.5222212524204878,0.7094766238626055,-2.225094238891235,3.2695367437322105
C(cuisine_description)[T.Hotdogs],-5.2646171648175075,1.1392699620383296e-05,-7.615630237457538,-2.9136040921774766
C(cuisine_description)[T.Hotdogs/Pretzels],-6.5826885529357515,5.267780000881198e-06,-9.415839134709634,-3.7495379711618697
"C(cuisine_description)[T.Ice Cream, Gelato, Yogurt, Ices]",-3.5128179084714994,0.0001649072122347863,-5.340288472093978,-1.6853473448490204
C(cuisine_description)[T.Indian],1.6818530719111504,0.06645170352358619,-0.11417846664323972,3.4778846104655408
C(cuisine_description)[T.Indonesian],-4.451527034619424,0.0020696326629517487,-7.284204883125536,-1.6188491861133127
C(cuisine_description)[T.Irish],-2.4333691927154635,0.008907538042270615,-4.256789534499732,-0.609948850931195
C(cuisine_description)[T.Italian],-0.7299311437069768,0.42081072034477063,-2.507091637137598,1.047229349723645
C(cuisine_description)[T.Japanese],0.28153033275505335,0.7564637735136004,-1.4977061268740035,2.0607667923841104
C(cuisine_description)[T.Jewish/Kosher],0.32881051612352674,0.720303349754321,-1.471084012124439,2.1287050443714923
"C(cuisine_description)[T.Juice, Smoothies, Fruit Salads]",-2.527479891829809,0.006708346850847139,-4.354770072837286,-0.7001897108223323
C(cuisine_description)[T.Korean],3.5931175202485983,9.288909133018977e-05,1.7912977784301582,5.394937262067039
"C(cuisine_description)[T.Latin (Cuban, Dominican, Puerto Rican, South & Central American)]",1.8128084605085768,0.0454275075355037,0.036887700054325956,3.5887292209628274
C(cuisine_description)[T.Mediterranean],-1.073917787000639,0.24755203996214212,-2.8942196726625893,0.7463840986613115
C(cuisine_description)[T.Mexican],0.9425077235817605,0.2989897470299927,-0.8361178667215179,2.721133313885039
C(cuisine_description)[T.Middle Eastern],-1.4436531223529665,0.12399943364167257,-3.2831465160353623,0.39584027132942956
C(cuisine_description)[T.Moroccan],-2.841427020337193,0.01895368745070974,-5.214846778622881,-0.46800726205150456
C(cuisine_description)[T.Other],-1.3199665557341593,0.17404374197471484,-3.223183989863569,0.5832508783952504
C(cuisine_description)[T.Pakistani],3.8620296866371158,0.0001593286770491604,1.857456973096443,5.866602400177788
C(cuisine_description)[T.Pancakes/Waffles],-1.6486480063474078,0.1819138906307707,-4.069301785423514,0.7720057727286986
C(cuisine_description)[T.Peruvian],1.3958523508214533,0.14561804467700015,-0.48419961348771645,3.275904315130623
C(cuisine_description)[T.Pizza],-0.4253039055856108,0.638854772678307,-2.2015264579489062,1.3509186467776848
C(cuisine_description)[T.Pizza/Italian],0.32226404371807266,0.7238787546987321,-1.4656322336743592,2.1101603211105044
C(cuisine_description)[T.Polish],2.9714774024363373,0.005154375971646968,0.8894228545046112,5.053531950368063
C(cuisine_description)[T.Portuguese],-1.6689151904602295,0.20960980399868193,-4.276054251681753,0.938223870761294
C(cuisine_description)[T.Russian],0.14810375639319817,0.878097143748186,-1.7444195964820361,2.0406271092684323
C(cuisine_description)[T.Salads],-1.9121151352818135,0.060726098567782716,-3.9103601686133755,0.08612989804974847
