term,coef,ci_low,ci_high,pvalue
const,13.651532920062392,13.366592937645454,13.93647290247933,0.0
cuisine_group_Asian,1.864169348644109,1.6165242134242443,2.111814483863974,2.9085314195410925e-49
cuisine_group_European,0.8524208623757792,0.6234240033664782,1.0814177213850802,2.9690018551674823e-13
cuisine_group_Grab-and-Go,-1.1504068339289117,-1.6751239533285522,-0.6256897145292714,1.730560227304708e-05
cuisine_group_Latin American & Caribbean,1.7481949473654061,1.4475100278969832,2.048879866833829,4.4123532918056494e-30
cuisine_group_Middle Eastern & African,1.2523174217019084,0.7025309295042638,1.8021039138995532,8.027282393412444e-06
cuisine_group_Other/Specialty,0.5225478660720215,0.07678212012179719,0.9683136120222459,0.021586659089076428
name_bistro,1.742843521669786,0.4449067807604141,3.040780262579158,0.008493372573937355
name_cafe,0.45296966563174856,0.109516645877406,0.7964226853860912,0.009739694650527406
name_grill,0.260346613041497,-0.4009464655595705,0.9216396916425644,0.4403368198321296
name_deli,1.7771451344098605,1.2174714276991607,2.3368188411205604,4.861230831749747e-10
name_diner,1.6342600655889734,1.0078445076543412,2.2606756235236056,3.164713413008748e-07
name_kitchen,-0.5154104510186794,-1.0308312940054223,1.0391968063294676e-05,0.05000461932600513
name_express,-0.4897509673354959,-1.4570859273052932,0.47758399263430135,0.3210472828830814
name_fast,1.2501406418837393,-0.7136252272651238,3.2139065110326026,0.21213348692515344
name_gourmet,1.7258287569290982,0.6392736642551955,2.812383849603001,0.0018512891941305915
name_organic,2.347866143478055,0.19754540315041824,4.498186883805692,0.03235301176395683
name_fresh,-0.13199408809758964,-1.31076948739048,1.0467813111953008,0.8262853859150422
name_happy,-0.48733024272434644,-2.3751191398633864,1.4004586544146935,0.6128832227475933
name_good,-0.03680805361623122,-1.5263192271239665,1.4527031198915041,0.9613706437717436
name_family,1.0011673559134848,-0.7721230756844761,2.774457787511446,0.2684842825743967
name_halal,-0.876836030628623,-2.2244922104301583,0.47082014917291237,0.2022290403809377
name_kosher,1.14707749464169,-0.8731220083922906,3.1672769976756703,0.26576189412670503
name_take_out,-0.606842597643855,-4.288891162778227,3.0752059674905174,0.7466771526016186
income_group_Q2 (lower-middle income),0.39937290210425547,0.14432882414930553,0.6544169800592055,0.002147026674186349
income_group_Q3 (upper-middle income),0.09624784200403588,-0.17750799666549957,0.37000368067357137,0.4907668784249223
income_group_Q4 (highest income),0.13749177892735218,-0.1457922035356655,0.4207757613903699,0.34146844108937846
